Nodal displacements, Load comb.: LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
ID	Node	ex	ey	ez	φ x	φ y	φ z	Comb.
[-]	[-]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
BMBPL.1	1019	-0.006	-0.000	-0.004	-0.000	-0.383	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	918	-0.006	0.000	-0.007	-0.000	-0.402	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	928	-0.006	0.000	-0.007	-0.000	-0.401	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	1000	-0.006	-0.000	-0.004	-0.000	-0.383	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	979	-0.006	-0.000	-0.006	-0.000	-0.391	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	980	-0.006	-0.000	-0.006	-0.000	-0.390	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	999	-0.006	-0.000	-0.004	-0.000	-0.383	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	954	-0.006	-0.000	-0.006	-0.000	-0.391	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	941	-0.006	0.000	-0.007	-0.000	-0.401	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	983	-0.006	-0.000	-0.006	-0.000	-0.391	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	1020	-0.006	-0.000	-0.004	-0.000	-0.383	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	960	-0.006	-0.000	-0.006	-0.000	-0.391	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	938	-0.006	0.000	-0.007	-0.000	-0.401	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	972	-0.006	-0.000	-0.006	-0.000	-0.391	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	939	-0.006	0.000	-0.007	-0.000	-0.401	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	978	-0.006	-0.000	-0.006	-0.000	-0.391	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	908	-0.006	0.000	-0.007	-0.000	-0.402	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	969	-0.006	-0.000	-0.006	-0.000	-0.391	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	1021	-0.006	-0.000	-0.004	-0.000	-0.383	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	926	-0.006	-0.000	-0.007	-0.000	-0.402	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	940	-0.006	0.000	-0.007	-0.000	-0.401	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	917	-0.006	0.000	-0.007	-0.000	-0.402	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
BMBPL.1	919	-0.006	0.000	-0.007	-0.000	-0.402	0.000	1 LC1  B, Bruk-frek, 6.15  Vogyn_Hogyn_Mogyn 
